hotel_name,hotel_cityname,hotel_countryname,hotel_starrating,hotel_price,hotel_amenities,hotel_description
Pride Hotel Pune,Pune,India,3.7,"3,256","Doctor on Call,Free Parking,Restaurant","Location of the Hotel is Shivaji Nagar View On Map ( 05, University Road, ). It’s a 5 Star Hotel with overall Rating 3.7 Out of 5 where 3.9 /5 for Cleanliness & 4.4 /5 for Location & 4 /5 for Child friendliness . Top Facilities of this Hotel are Doctor on Call & Free Parking & Restaurant ."
7 Apple Hotel Pimpri Pune,Pune,India,4.1,"1,580","Doctor on Call,Free Wi-Fi,Free Parking","This 3 Star Hotel in Pune is located in Kasarwadi . Full Address of property is Mumbai Pune Road, Behind Siddharth Motors. opp Forbes Marshal. Kasarwadi, Pune. (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.2 /5 for Cleanliness & 4.2 /5 for Value for Money & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Cocoon Hotel,Pune,India,4.5,"3,749","Doctor on Call,Restaurant,Conference Room","Location of the Hotel is Hadapsar View On Map ( COCOON HOTEL,Magarpatta City, Hadapsar,Pune. ). It’s a 3 Star Hotel with overall Rating 4.5 Out of 5 where 4.4 /5 for Cleanliness & 4.5 /5 for Location & 4.5 /5 for Child friendliness . Top Facilities of this Hotel are Doctor on Call & Restaurant & Conference Room ."
Hotel Shreyas,Pune,India,4.0,"1,895","Doctor on Call,Free Parking,Restaurant","This 3 Star Hotel in Pune is located in Shivaji Nagar . Full Address of property is 1242 B, Apte Road, Deccan Gymkhana, Pune (View On Map). This Hotel have 4 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.5 /5 for Location & 4.2 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Parking & Restaurant ."
West View apartments by Magnus,Pune,India,3.3,"1,016","Doctor on Call,Kitchenette,Caretaker","Location of the Apartment is New Kalyani Nagar View On Map ( west view apartment lane no 7 next to orange IVY school, Kalyani Nagar. ). Top Facilities of this Apartment are Doctor on Call & Kitchenette & Caretaker ."
Rainbow Residency,Pondicherry,India,4.1,"1,226","Doctor on Call,Free Wi-Fi,Free Parking","Full Address of property is Plot no:35, ECR Main Road, Near Auro Beach (View On Map). This Hotel have 4.1 Out of 5 Rating where 4.4 /5 for Cleanliness & 4.6 /5 for Hospitality & 4.4 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Rainbow Cottages,Pondicherry,India,4.0,"1,073","Caretaker,Living Room,Power Backup","Location of the Cottage is Auroville Beach View On Map ( S No. 372/2A. Auro Beach, Bommayarpalayam Village, Auroville Post, ). Top Facilities of this Cottage are Caretaker & Living Room & Power Backup ."
Le Holiday Inn,Pondicherry,India,3.9,323,"Doctor on Call,Free Parking,Restaurant","Full Address of property is No - 22,Prabhu Avenue,Kannaiah Nagar, Auroville (View On Map). This Hotel have 3.9 Out of 5 Rating where 4 /5 for Cleanliness & 4.1 /5 for Hospitality & 3.9 /5 for Child friendliness . Key amenities of this property are Doctor on Call & Free Parking & Restaurant ."
Lamel Cove Beach Resort,Pondicherry,India,4.2,"1,974","Doctor on Call,Free Wi-Fi,Room Service","Location of the Hotel is Auroville Beach View On Map ( NO..117/10A, bajanai koil street,periyamudaliarchavady, kottakuppam,vanur taluk,villuppuram, T.M ). Top Facilities of this Hotel are Doctor on Call & Free Wi-Fi & Room Service ."
Grand Serenaa Hotels & Resorts,Pondicherry,India,4.0,"3,306","Doctor on Call,Free Wi-Fi,Free Parking","This 4 Star Resort in Pondicherry is located in Auroville . Full Address of property is 164/1, Puducherry -Near Auroville,Tindivanam Road, Thiruchitrambalam Koot Road (View On Map). This Resort have 4 Out of 5 Rating where 4.1 /5 for Cleanliness & 4.2 /5 for Room & 4.1 /5 for Value for Money . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
Plenitude Resort,Pondicherry,India,3.3,"1,362","Kitchenette,Caretaker,Power Backup","Location of the Cottage is Auroville View On Map ( 15, Spa Equilibre, Fertile Auroville, Auroville, Bomayarpalayam, Pondicherry ). Top Facilities of this Cottage are Kitchenette & Caretaker & Power Backup ."
K Resort,Pondicherry,India,4.2,"3,804","Doctor on Call,Free Wi-Fi,Free Parking","This 5 Star Resort in Pondicherry is located in Koonimedu . Full Address of property is No 1, Dr. M.D.K. Kuthalingam Salai, Ranganathapuram, ECR , Koonimedu, Pondicherry - 604 303 (View On Map). This Resort have 4.2 Out of 5 Rating where 4.6 /5 for Cleanliness & 4.7 /5 for Room & 4.4 /5 for Hospitality . Key amenities of this property are Doctor on Call & Free Wi-Fi & Free Parking ."
White Pearl Residency,Pondicherry,India,4.4,"2,144","Free Wi-Fi,Free Parking,Restaurant","Location of the Hotel is Auroville Beach View On Map ( R.S No:119/15, E.C.R Road, Periya Mudaliyar Chavady.Vanur T.K, Pondicherry ). Top Facilities of this Hotel are Free Wi-Fi & Free Parking & Restaurant ."
TRANQUIL PARK,Pondicherry,India,4.5,"2,808","Free Parking,Room Service,Power Backup","Full Address of property is SURVEY NO.115/17, NORTH STREET, BEACH ROAD, PERIYAMUDHALIYAR CHAVADY,, NEAR AUROVILLE BUS STOP, KOTTAKUPPAM,, Viluppuram, Tamil Nadu, 605104 (View On Map). This Guest House have 4.5 Out of 5 Rating where 4.4 /5 for Cleanliness & 5 /5 for Hospitality & 5 /5 for Child friendliness . Key amenities of this property are Free Parking & Room Service & Power Backup ."
La Taara Beach Resort,Pondicherry,India,4.6,"2,084","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Resort is Kottakuppam View On Map ( Serenity Beach RS.No:144/8C, Old Madras Street, Kottakuppam, Pondicherry- 605104 ). It’s a 4 Star Resort with overall Rating 4.6 Out of 5 where 4.9 /5 for Cleanliness & 4.8 /5 for Hospitality & 4.5 /5 for Food . Top Facilities of this Resort are Doctor on Call & Free Wi-Fi & Free Parking ."
Mermaid Island Beach House,Pondicherry,India,4.2,"1,410","Kitchenette,Caretaker,Living Room","Full Address of property is 26, South Street, Chinnamudaluarchavady, Near Anantha Ashram, Pondicherry. (View On Map). This Homestay have 4.2 Out of 5 Rating where 3.8 /5 for Cleanliness & 4.2 /5 for Location & 3.8 /5 for Security . Key amenities of this property are Kitchenette & Caretaker & Living Room ."
Olive De Villa Resort,Pondicherry,India,3.8,"1,532","Doctor on Call,Free Wi-Fi,Free Parking","Location of the Resort is Kuilapalayam View On Map ( Auroville Main Road, Kuyilapalayam, Auroville. ). It’s a 4 Star Resort with overall Rating 3.8 Out of 5 where 4.1 /5 for Cleanliness & 3.8 /5 for Child friendliness & 3.7 /5 for Value for Money . Top Facilities of this Resort are Doctor on Call & Free Wi-Fi & Free Parking ."
R.M. Guest House,Pondicherry,India,4.5,726,"Doctor on Call,Free Parking,Room Service","Full Address of property is Divankandappa nagar, ECR,Periya mudaliar chavady, Pondicherry Auroville Main road, Auroville bus stop, pondicherry, 605104 (View On Map). This Guest House have 4.5 Out of 5 Rating where 4.7 /5 for Cleanliness & 4.3 /5 for Value for Money & 4.3 /5 for Room . Key amenities of this property are Doctor on Call & Free Parking & Room Service ."
Villa Aurora,Pondicherry,India,4.4,"3,008","Kitchenette,Caretaker,Living Room","Location of the Villa is Kuilapalayam View On Map ( No 194/5, Old Auroville Road, Auroville, Pondicherry ). Top Facilities of this Villa are Kitchenette & Caretaker & Living Room ."
WoodPacker Hostel,Pondicherry,India,5.0,658,"Doctor on Call,,","Full Address of property is 100/1 Auroville Main Road, Kuiliyapalyam, Auroville Pondicherry, 605101 (View On Map). This Hostel have 5 Out of 5 Rating where 5 /5 for Cleanliness & 5 /5 for Room & 5 /5 for Value for Money . Key amenities of this property are Doctor on Call & Tours and Treks & Cafe ."
Lia's Beach House,Pondicherry,India,3.8,"2,021","Doctor on Call,Free Wi-Fi,Power Backup",Location of the BnB is Auroville Beach View On Map ( Old Patttinam Road Periyamudaliyar Chavady Kottakuppam Pondicherry 605101 ). Top Facilities of this BnB are Doctor on Call & Free Wi-Fi & Power Backup .
OYO 43665 purple resort,Pondicherry,India,3.7,"1,836","Doctor on Call,Free Wi-Fi,Restaurant","This 3 Star Hotel in Pondicherry is located in Auroville . Full Address of property is 290,Auroville Rd, Auroville, Kuilapalayam (View On Map). This Hotel have 3.7 Out of 5 Rating where 4.2 /5 for Value for Money & 3.9 /5 for Security & 3.8 /5 for Room . Key amenities of this property are Doctor on Call & Free Wi-Fi & Restaurant ."
Quiet Home,Pondicherry,India,3.9,797,"Free Wi-Fi,Free Parking,Room Service","Location of the Guest House is Kottakuppam View On Map ( No.10 A, East Coast Road, Chinna mudaliar chavadi Pondicherry - 605 104. ). It’s a 3 Star Guest House with overall Rating 3.9 Out of 5 where 4.2 /5 for Cleanliness & 4.5 /5 for Room & 4.2 /5 for Hospitality . Top Facilities of this Guest House are Free Wi-Fi & Free Parking & Room Service ."
